Identifier,Index,Chemical Name,Structure File,Coord Atoms,Freq,rsmd
GEPRAU,1,"bis(3,3'-(Nitro-N,N,O-azoxy)difurazanyl) ether",GEPRAU.mol,"[6, 9]",1,0.29609074898044024
RABQUC,1,"8a-Methoxy-1,7-dimethyl-dihydro-imidazo(1,5-a)-1,3,5-triazine-2,4,6,8-tetraone",RABQUC.mol,"[14, 15]",1,0.3177834548848076
HOYSEV,1,"3,3'-oxybis(4-(dinitromethyl)-1,2,5-oxadiazole)",HOYSEV.mol,"[20, 21]",1,0.31862469382442205
OCATUI,1,"Ethyl 2-methyl-4-oxo-4,5-dihydro-1H-pyrrole-3-carboxylate",OCATUI.mol,"[9, 10]",1,0.333517502769054
XOMCAE,1,"N,N-bis(1H-Tetrazol-5-yl)amine",XOMCAE.mol,"[7, 8]",1,0.3343435407093772
FIPXOR,1,"2-Dimethylamino-7,8-diphenyl-4,6-dihydropyrrolo(1,2-a)pyrimidine-4,6-dione",FIPXOR.mol,"[12, 13]",1,0.3347537654505691
UFAGOY,1,"(E)-N-(1,3-Oxazolidin-2-ylidene)benzamide",UFAGOY.mol,"[22, 19]",1,0.33526355036364236
BEKQEQ,1,"N'-[3,5,6-trifluoro-4-(phenylsulfonyl)pyridin-2-yl]benzenecarboximidamide",BEKQEQ.mol,"[18, 20]",1,0.33634965750828594
SAPSAD,1,"(4aα,4bα,6bα,8aα,8bα,8cα)-3,4,4a,6b,7,8,8a,8c-Octahydro-1,5-dioxodicylopenta(cd,ij)-s-indacene-2,4b,6,8b(1H,5H)-tetracarboxylic acid methyl ester",SAPSAD.mol,"[33, 26]",1,0.33718608595292776
PERGOL,1,"diethyl 2,2'-(3,5-dioxo-1-phenylimidazo[1,5-c]quinazoline-2,6(3H,5H)-diyl)diacetate benzene solvate",PERGOL.mol,"[1, 53]",1,0.34072912205674527
FAGPOS,1,"Diethylammonium pentane-2,4-dionide",FAGPOS.mol,"[5, 2]",1,0.3410170129213235
USEWAS,1,"diammonium 1H,1'H-5,5'-bitetrazole-1,1'-diolate",USEWAS.mol,"[5, 6]",1,0.34225709542524013
RUMPUM,1,"4-amino-3',6'-bis(diethylamino)-3H-spiro[2-benzofuran-1,9'-xanthen]-3-one",RUMPUM.mol,"[64, 57]",1,0.34318786628825515
VUWYER,1,"N,N'-Diacetyl-imidazolidinetrione",VUWYER.mol,"[5, 16]",1,0.3436121421010551
WOBQAG,1,"8-Carbamoyl-3-methylimidazo(5,1-d)-1,2,3,5-tetrazin-4(3H)-one monohydrate",WOBQAG.mol,"[6, 7]",1,0.3438455378867276
DEFFID,1,"8-Benzyl-4-thia-1,8-diazabicyclo(4.3.0)nonane-2,7,9-trione",DEFFID.mol,"[13, 15]",1,0.34487582393174676
FOZLEM,1,"1,4-Dimethyl-5-aminotetrazolium 5-(nitroguanidinyl)tetrazolate",FOZLEM.mol,"[1, 7]",1,0.3449478057804552
HIFWOI,1,"trans,trans-Dimethyl 2,2,6,6-tetramethyl-4-oxa-3,5-dioxoheptanedioate",HIFWOI.mol,"[9, 12]",1,0.34522185492904883
DIHATO10,1,Aflatoxin B2,DIHATO10.mol,"[31, 32]",1,0.34592410081383346
TUPBEN,1,"1,6,11,13a-tetrahydro-3H-pyrrolo[1',2':4,5]pyrazino[1,2-b]-isoquinoline-3,5,13(2H,5aH)-trione",TUPBEN.mol,"[7, 10]",1,0.34663986551788745
FIZDEX,1,"2-Azido-3,4-O-(R)-benzylidene-2-deoxy-D-ribono-1,5-lactone",FIZDEX.mol,"[15, 17]",1,0.3472290425069712
IGEGEI,1,ethyl 7-((4-methoxyphenyl)ethynyl)-2-oxo-2H-chromene-3-carboxylate,IGEGEI.mol,"[38, 39]",1,0.347279581901071
MENDUF,1,Ethyl 1-acetyl-3-amino-1H-pyrazole-4-carboxylate,MENDUF.mol,"[16, 3]",1,0.3475624767191723
PEZPOB,1,"N,N',N'',N'''-4H,4'H-3,3'-Bi-1,2,4-triazole-4,4',5,5'-tetrayltetraacetamide dihydrate",PEZPOB.mol,"[13, 19]",1,0.3476538909346727
HIFZUR,1,"1,5-Diphenylbiuret phenyl carbamidonitrile",HIFZUR.mol,"[8, 11]",1,0.3479376120019007
AFLATC,1,Aflatoxin B1 chloroform solvate,AFLATC.mol,"[29, 30]",1,0.3480107951226195
IJUVIS,1,"2-(But-3-en-1-yloxycarbonyl)-9,9-dimethyl-9H-(1,3)thiazolo(3,2-a)indol-4-ium-3-olate",IJUVIS.mol,"[15, 18]",1,0.34851181032333817
PBEGAN,1,"Sodium 1-phenylbutane-1,3-dionate ethylene glycol",PBEGAN.mol,"[19, 20]",1,0.3487478387759482
CAHYES,1,"bis(5-amino-1-(2H-tetrazol-5-yl)-1H-1,2,4-triazol-4-ium) sulfate monohydrate",CAHYES.mol,"[14, 4]",1,0.34910036303920544
GEKROG,1,"2,6-bis(2-hydroxyethyl)-1-phenyl-2,6-dihydroimidazo[1,5-c]quinazoline-3,5-dione",GEKROG.mol,"[43, 44]",1,0.34944088197085177
BOWZES,1,(Z)-N-Benzyl-α-methoxycarbonylmethanimine N-oxide,BOWZES.mol,"[6, 3]",1,0.3496386248180787
WOKPAO,1,"8,9-dimethoxy-1,2-dimethyl-3H,5H-dipyrrolo[1,2-c:2',1'-f]pyrimidine-3,5-dione",WOKPAO.mol,"[29, 30]",1,0.3510462797316376
LAQSIG,1,Methyl N-acetyloxalamate,LAQSIG.mol,"[15, 16]",1,0.3519820968862479
DACNAP,1,bis(Diacetamide) sodium perchlorate,DACNAP.mol,"[12, 13]",1,0.3548976959440632
JAWVAE,1,"6H,7H-(1)Benzopyrano(4,3-b)(1)benzopyran-6,7-dione",JAWVAE.mol,"[11, 8]",1,0.35526093348993776
ZIBCOE,1,"Diaminoguanidinium 1'-hydroxy-1H,1'H-5,5'-bi-tetrazol-1-olate monohydrate",ZIBCOE.mol,"[7, 3]",1,0.3557381791884808
XUNCUE,1,2-Guanidinobenzimidazole phthalimide,XUNCUE.mol,"[9, 8]",1,0.35594659635469517
QUXZOA,1,N-((1Z)-(benzylamino)((4-methoxyphenyl)amino)methylene)benzamide,QUXZOA.mol,"[44, 41]",1,0.3559502484800662
DUBGOZ,1,"4-amino-2-benzyl-2-methyl-6-(naphthalen-2-yl)-1,3-dioxo-2,3-dihydro-1H-indene-5-carbonitrile",DUBGOZ.mol,"[48, 46]",1,0.35619722975232293
NEKRUT,1,"3-[(hydroxyimino)methyl]-2H-furo[2,3-c]pyran-2-one",NEKRUT.mol,"[6, 2]",1,0.3570180443248708
BUYHIO,1,3-(Di-isopropylamino)-12-hydroxyandrost-5-en-17-one,BUYHIO.mol,"[2, 6]",1,0.35733700769559296
